売上日,売上金額
2023-08-15,135240
2023-08-16,154845
2023-08-17,454212
2023-08-18,8062
2023-08-19,59316
2023-08-20,47782
2023-08-21,49192
2023-08-22,332409
2023-08-23,71226
2023-08-24,197220
2023-08-25,183120
2023-08-26,56551
2023-08-27,226890
2023-08-28,152892
2023-08-29,105543
2023-08-30,168056
2023-08-31,314496
2023-09-01,106128
2023-09-02,199368
2023-09-03,92199
2023-09-04,195650
2023-09-05,220824
2023-09-06,20426
2023-09-07,38988
2023-09-08,101385
2023-09-09,163716
2023-09-10,225072
2023-09-11,98948
2023-09-12,126511
2023-09-13,130796
2023-09-14,260700
2023-09-15,231135
2023-09-16,240400
2023-09-17,21880
2023-09-18,59133
2023-09-19,29040
2023-09-20,159552
2023-09-21,181407
2023-09-22,319077
2023-09-23,147704
2023-09-24,126984
2023-09-25,23446
2023-09-26,102025
2023-09-27,27720
2023-09-28,32049
2023-09-29,50176
2023-09-30,93728
2023-10-01,51336
2023-10-02,12369
2023-10-03,135072
2023-10-04,62909
2023-10-05,381728
2023-10-06,28093
2023-10-07,341325
2023-10-08,232488
2023-10-09,63825
2023-10-10,276136
2023-10-11,306800
2023-10-12,122801
2023-10-13,197132
2023-10-14,199280
2023-10-15,297305
2023-10-16,9558
2023-10-17,71994
2023-10-18,78900
2023-10-19,9786
2023-10-20,14840
2023-10-21,218680
2023-10-22,216505
2023-10-23,92430
2023-10-24,68902
2023-10-25,6618
2023-10-26,123032
2023-10-27,172480
2023-10-28,207168
2023-10-29,257690
2023-10-30,416300
2023-10-31,157105
2023-11-01,180620
2023-11-02,153772
2023-11-03,200640
2023-11-04,220131
2023-11-05,61361
2023-11-06,108240
2023-11-07,402444
2023-11-08,89005
2023-11-09,239470
2023-11-10,369567
2023-11-11,112490
2023-11-12,255024
2023-11-13,186240
2023-11-14,3263
2023-11-15,256832
2023-11-16,4143
2023-11-17,182840
2023-11-18,70296
2023-11-19,214830
2023-11-20,5608
2023-11-21,35360
2023-11-22,61880
2023-11-23,123095
2023-11-24,280800
2023-11-25,115166
2023-11-26,234788
2023-11-27,178353
2023-11-28,114764
2023-11-29,120192
2023-11-30,33000
2023-12-01,282996
2023-12-02,70496
2023-12-03,426976
2023-12-04,49392
2023-12-05,187750
2023-12-06,95953
2023-12-07,294376
2023-12-08,214863
2023-12-09,124575
2023-12-10,219375
2023-12-11,94395
2023-12-12,301125
2023-12-13,70664
2023-12-14,197960
2023-12-15,163590
2023-12-16,77792
2023-12-17,348894
2023-12-18,48279
2023-12-19,271656
2023-12-20,329980
2023-12-21,95625
2023-12-22,195318
2023-12-23,129489
2023-12-24,53130
2023-12-25,104000
2023-12-26,202492
2023-12-27,325440
2023-12-28,20296
2023-12-29,196587
2023-12-30,273224
2023-12-31,280413
2024-01-01,277424
2024-01-02,342549
2024-01-03,103677
2024-01-04,110520
2024-01-05,105372
2024-01-06,51840
2024-01-07,167142
2024-01-08,153584
2024-01-09,18491
2024-01-10,43758
2024-01-11,320535
2024-01-12,188232
2024-01-13,58149
2024-01-14,243440
2024-01-15,395163
2024-01-16,31660
2024-01-17,79800
2024-01-18,295200
2024-01-19,183567
2024-01-20,220864
2024-01-21,315744
2024-01-22,261569
2024-01-23,147768
2024-01-24,194844
2024-01-25,123328
2024-01-26,46240
2024-01-27,188575
2024-01-28,55930
2024-01-29,84810
2024-01-30,10944
2024-01-31,113976
2024-02-01,10654
2024-02-02,357700
2024-02-03,74585
2024-02-04,90075
2024-02-05,106974
2024-02-06,105551
2024-02-07,64872
2024-02-08,51725
2024-02-09,164362
2024-02-10,105144
2024-02-11,406600
2024-02-12,328116
2024-02-13,100806
2024-02-14,44547
2024-02-15,164076
2024-02-16,278883
2024-02-17,34832
2024-02-18,19536
2024-02-19,27742
2024-02-20,350163
2024-02-21,142358
2024-02-22,166473
2024-02-23,319188
2024-02-24,77440
2024-02-25,92039
2024-02-26,19245
2024-02-27,220387
2024-02-28,92736
2024-02-29,209568
2024-03-01,205702
2024-03-02,105524
2024-03-03,114878
2024-03-04,144000
2024-03-05,284071
2024-03-06,178525
2024-03-07,231413
2024-03-08,107032
2024-03-09,227375
2024-03-10,336000
2024-03-11,80940
2024-03-12,12060
2024-03-13,48912
2024-03-14,41558
2024-03-15,428076
2024-03-16,74008
2024-03-17,275394
2024-03-18,23210
2024-03-19,30134
2024-03-20,113337
2024-03-21,6177
2024-03-22,358720
2024-03-23,31857
2024-03-24,98196
2024-03-25,351912
2024-03-26,292980
2024-03-27,184760
2024-03-28,65280
2024-03-29,107001
2024-03-30,135751
2024-03-31,239766
2024-04-01,5316
2024-04-02,423980
2024-04-03,372504
2024-04-04,220020
2024-04-05,15090
2024-04-06,141372
2024-04-07,76560
2024-04-08,229046
2024-04-09,121354
2024-04-10,89250
2024-04-11,337577
2024-04-12,282374
2024-04-13,224546
2024-04-14,116994
2024-04-15,71214
2024-04-16,285600
2024-04-17,355496
2024-04-18,51528
2024-04-19,266532
2024-04-20,78360
2024-04-21,216480
2024-04-22,134352
2024-04-23,102175
2024-04-24,207364
2024-04-25,148140
2024-04-26,83172
2024-04-27,178360
2024-04-28,266179
2024-04-29,3759
2024-04-30,32140
2024-05-01,18009
2024-05-02,42372
2024-05-03,18620
2024-05-04,204039
2024-05-05,204619
2024-05-06,165538
2024-05-07,138796
2024-05-08,62904
2024-05-09,134120
2024-05-10,67201
2024-05-11,61587
2024-05-12,103600
2024-05-13,101010
2024-05-14,320958
2024-05-15,74635
2024-05-16,94976
2024-05-17,35701
2024-05-18,120146
2024-05-19,149316
2024-05-20,126763
2024-05-21,181874
2024-05-22,182784
2024-05-23,4092
2024-05-24,114840
2024-05-25,343308
2024-05-26,259930
2024-05-27,59808
2024-05-28,16060
2024-05-29,308520
2024-05-30,155986
2024-05-31,441471
2024-06-01,104104
2024-06-02,51090
2024-06-03,75696
2024-06-04,70280
2024-06-05,133889
2024-06-06,482866
2024-06-07,97812
2024-06-08,35408
2024-06-09,62060
2024-06-10,29590
2024-06-11,174603
2024-06-12,192894
2024-06-13,78516
2024-06-14,225352
2024-06-15,146120
2024-06-16,105675
2024-06-17,37336
2024-06-18,119214
2024-06-19,85325
2024-06-20,137416
2024-06-21,20430
2024-06-22,85610
2024-06-23,104512
2024-06-24,129682
2024-06-25,79508
2024-06-26,120916
2024-06-27,103296
2024-06-28,210900
2024-06-29,17088
2024-06-30,67108
2024-07-01,285570
2024-07-02,20244
2024-07-03,207480
2024-07-04,158032
2024-07-05,284627
2024-07-06,359328
2024-07-07,139872
2024-07-08,74430
2024-07-09,399945
2024-07-10,157776
2024-07-11,45690
2024-07-12,340800
2024-07-13,92826
2024-07-14,141122
2024-07-15,165960
2024-07-16,48830
2024-07-17,179289
2024-07-18,95776
2024-07-19,297600
2024-07-20,4904
2024-07-21,127024
2024-07-22,277488
2024-07-23,261440
2024-07-24,260865
2024-07-25,261662
2024-07-26,230432
2024-07-27,236320
2024-07-28,207460
2024-07-29,318990
2024-07-30,57972
2024-07-31,5376
2024-08-01,126036
2024-08-02,100532
2024-08-03,121446
2024-08-04,118484
2024-08-05,25714
2024-08-06,376971
2024-08-07,192780
2024-08-08,43197
2024-08-09,240004
2024-08-10,117480
2024-08-11,9528
2024-08-12,214110
2024-08-13,75760
2024-08-14,146861
2024-08-15,81092
2024-08-16,305424
2024-08-17,290598
2024-08-18,94350
2024-08-19,60421
2024-08-20,167090
2024-08-21,17584
2024-08-22,70884
2024-08-23,67678
2024-08-24,382630
2024-08-25,105219
2024-08-26,105151
2024-08-27,380240
2024-08-28,124332
2024-08-29,80964
2024-08-30,177828
2024-08-31,89061
2024-09-01,9478
2024-09-02,218589
2024-09-03,230300
2024-09-04,165132
2024-09-05,133145
2024-09-06,66674
2024-09-07,92304
2024-09-08,192868
2024-09-09,166348
2024-09-10,115667
2024-09-11,103075
2024-09-12,173978
2024-09-13,165017
2024-09-14,140896
2024-09-15,103480
2024-09-16,133434
2024-09-17,336777
2024-09-18,88572
2024-09-19,127855
2024-09-20,134964
2024-09-21,366366
2024-09-22,81535
2024-09-23,98270
2024-09-24,233120
2024-09-25,64260
2024-09-26,91932
2024-09-27,128723
2024-09-28,402783
2024-09-29,149526
2024-09-30,6462
2024-10-01,61351
2024-10-02,62916
2024-10-03,159892
2024-10-04,149150
2024-10-05,333480
2024-10-06,151293
2024-10-07,140658
2024-10-08,76383
2024-10-09,29220
2024-10-10,277704
2024-10-11,128686
2024-10-12,116318
2024-10-13,274736
2024-10-14,150392
2024-10-15,275835
2024-10-16,50512
2024-10-17,86856
2024-10-18,154660
2024-10-19,16228
2024-10-20,31518
2024-10-21,238224
2024-10-22,208250
2024-10-23,133595
2024-10-24,62112
2024-10-25,157504
2024-10-26,31456
2024-10-27,237718
2024-10-28,32136
2024-10-29,177702
2024-10-30,3516
2024-10-31,102120
2024-11-01,194656
2024-11-02,19248
2024-11-03,279004
2024-11-04,28674
2024-11-05,142800
2024-11-06,85675
2024-11-07,222480
2024-11-08,65832
2024-11-09,277652
2024-11-10,166066
2024-11-11,192989
2024-11-12,1950
2024-11-13,92628
2024-11-14,294298
2024-11-15,109736
2024-11-16,31040
2024-11-17,189630
2024-11-18,337152
2024-11-19,211728
2024-11-20,22140
2024-11-21,64350
2024-11-22,110985
2024-11-23,12834
2024-11-24,62139
2024-11-25,38844
2024-11-26,30438
2024-11-27,170775
2024-11-28,161280
2024-11-29,92645
2024-11-30,251704
2024-12-01,424952
2024-12-02,207582
2024-12-03,310770
2024-12-04,193856
2024-12-05,138762
2024-12-06,197232
2024-12-07,48150
2024-12-08,263169
2024-12-09,94382
2024-12-10,60610
2024-12-11,289656
2024-12-12,183339
2024-12-13,113464
2024-12-14,217616
2024-12-15,307762
2024-12-16,88314
2024-12-17,315456
2024-12-18,183844
2024-12-19,151050
2024-12-20,194766
2024-12-21,18000
2024-12-22,215100
2024-12-23,2992
2024-12-24,120700
2024-12-25,43130
2024-12-26,64975
2024-12-27,151524
2024-12-28,93808
2024-12-29,237424
2024-12-30,362531
2024-12-31,235939
2025-01-01,102872
2025-01-02,102942
2025-01-03,101993
2025-01-04,13062
2025-01-05,112965
2025-01-06,275709
2025-01-07,381280
2025-01-08,85920
2025-01-09,392720
2025-01-10,34020
2025-01-11,48526
2025-01-12,258432
2025-01-13,243820
2025-01-14,216180
2025-01-15,444030
2025-01-16,195648
2025-01-17,109917
2025-01-18,20232
2025-01-19,169155
2025-01-20,381408
2025-01-21,138898
2025-01-22,233966
2025-01-23,51310
2025-01-24,68848
2025-01-25,304045
2025-01-26,152640
2025-01-27,148320
2025-01-28,186484
2025-01-29,84502
2025-01-30,115182
2025-01-31,57960
2025-02-01,48550
2025-02-02,12980
2025-02-03,250698
2025-02-04,139810
2025-02-05,45012
2025-02-06,120024
2025-02-07,135090
2025-02-08,124174
2025-02-09,355205
2025-02-10,39256
2025-02-11,64746
2025-02-12,344724
2025-02-13,174414
2025-02-14,131544
2025-02-15,226458
2025-02-16,26378
2025-02-17,207630
2025-02-18,106632
2025-02-19,297250
2025-02-20,79240
2025-02-21,115692
2025-02-22,150315
2025-02-23,32292
2025-02-24,134212
2025-02-25,187020
2025-02-26,81702
2025-02-27,278576
2025-02-28,84888
2025-03-01,153170
2025-03-02,126945
2025-03-03,202663
2025-03-04,51393
2025-03-05,118312
2025-03-06,307638
2025-03-07,397824
2025-03-08,180198
2025-03-09,125242
2025-03-10,38052
2025-03-11,130080
2025-03-12,168606
2025-03-13,258800
2025-03-14,87880
2025-03-15,230776
2025-03-16,113277
2025-03-17,206976
2025-03-18,48972
2025-03-19,401070
2025-03-20,473418
2025-03-21,422280
2025-03-22,92947
2025-03-23,406430
2025-03-24,59785
2025-03-25,302492
2025-03-26,274275
2025-03-27,228312
2025-03-28,140440
2025-03-29,192204
2025-03-30,137862
2025-03-31,206720
2025-04-01,282975
2025-04-02,24771
2025-04-03,77952
2025-04-04,265398
2025-04-05,181308
2025-04-06,18280
2025-04-07,342720
2025-04-08,188700
2025-04-09,282366
2025-04-10,151528
2025-04-11,218625
2025-04-12,41775
2025-04-13,333201
2025-04-14,213576
2025-04-15,15528
2025-04-16,86768
2025-04-17,238119
2025-04-18,240504
2025-04-19,20650
2025-04-20,296100
2025-04-21,202398
2025-04-22,35854
2025-04-23,75221
2025-04-24,277696
2025-04-25,336153
2025-04-26,122494
2025-04-27,41673
2025-04-28,105018
2025-04-29,77634
2025-04-30,14706
2025-05-01,89059
2025-05-02,32256
2025-05-03,109340
2025-05-04,150838
2025-05-05,60945
2025-05-06,198527
2025-05-07,76256
2025-05-08,23700
2025-05-09,98430
2025-05-10,466848
2025-05-11,37716
2025-05-12,376940
2025-05-13,297184
2025-05-14,9675
2025-05-15,182256
2025-05-16,2964
2025-05-17,98462
2025-05-18,123630
2025-05-19,100375
2025-05-20,193570
2025-05-21,414869
2025-05-22,266474
2025-05-23,190023
2025-05-24,76041
2025-05-25,252840
2025-05-26,165516
2025-05-27,196830
2025-05-28,174552
2025-05-29,89019
2025-05-30,222755
2025-05-31,120564
2025-06-01,188100
2025-06-02,74784
2025-06-03,59878
2025-06-04,109935
2025-06-05,98160
2025-06-06,129166
2025-06-07,122304
2025-06-08,292246
2025-06-09,48972
2025-06-10,182050
2025-06-11,134958
2025-06-12,96785
2025-06-13,7394
2025-06-14,46046
2025-06-15,71328
2025-06-16,90364
2025-06-17,32139
2025-06-18,218688
2025-06-19,75108
2025-06-20,187295
2025-06-21,165336
2025-06-22,132825
2025-06-23,41904
2025-06-24,385212
2025-06-25,109120
2025-06-26,231795
2025-06-27,18120
2025-06-28,44928
2025-06-29,175776
2025-06-30,84810
2025-07-01,59775
2025-07-02,97588
2025-07-03,60112
2025-07-04,210322
2025-07-05,214245
2025-07-06,194784
2025-07-07,207172
2025-07-08,180288
2025-07-09,155064
2025-07-10,59432
2025-07-11,74911
2025-07-12,93240
2025-07-13,87096
2025-07-14,96800
2025-07-15,186912
2025-07-16,45975
2025-07-17,130116
2025-07-18,17670
2025-07-19,75875
2025-07-20,86224
2025-07-21,12216
2025-07-22,301632
2025-07-23,366750
2025-07-24,139577
2025-07-25,125952
2025-07-26,102166
2025-07-27,325288
2025-07-28,283125
2025-07-29,240628
2025-07-30,118606
2025-07-31,336565
2025-08-01,129050
2025-08-02,281960
2025-08-03,446121
2025-08-04,89088
2025-08-05,468445
2025-08-06,85503
2025-08-07,122220
2025-08-08,98136
2025-08-09,155526
2025-08-10,88902
2025-08-11,237699
2025-08-12,440847
2025-08-13,68034
2025-08-14,140154
2025-08-15,404910
2025-08-16,130704
2025-08-17,36340
2025-08-18,401742
2025-08-19,253083
2025-08-20,129234
2025-08-21,288780
2025-08-22,58539
2025-08-23,124632
2025-08-24,87174
2025-08-25,47976
2025-08-26,24620
2025-08-27,411840
2025-08-28,75402
2025-08-29,237132
2025-08-30,26793
2025-08-31,224664
2025-09-01,160842
2025-09-02,402624
2025-09-03,74128
2025-09-04,297414
2025-09-05,100170
2025-09-06,14744
2025-09-07,154234
2025-09-08,123228
2025-09-09,433917
2025-09-10,250204
2025-09-11,50100
2025-09-12,19877
2025-09-13,89748
2025-09-14,16772
2025-09-15,101426
2025-09-16,117570
2025-09-17,209510
2025-09-18,81750
2025-09-19,97047
2025-09-20,138516
2025-09-21,120125
2025-09-22,448965
2025-09-23,98250
2025-09-24,295604
2025-09-25,175171
2025-09-26,27170
2025-09-27,288064
2025-09-28,15372
2025-09-29,25764
2025-09-30,119108
2025-10-01,20223
2025-10-02,149624
2025-10-03,93262
2025-10-04,26246
2025-10-05,49065
2025-10-06,211108
2025-10-07,13910
2025-10-08,75187
2025-10-09,115005
2025-10-10,13254
2025-10-11,229578
2025-10-12,130608
2025-10-13,108445
2025-10-14,284025
2025-10-15,86889
2025-10-16,207480
2025-10-17,34983
2025-10-18,85492
2025-10-19,270693
2025-10-20,66521
2025-10-21,207644
2025-10-22,341658
2025-10-23,80080
2025-10-24,349800
2025-10-25,316940
2025-10-26,159940
2025-10-27,285560
2025-10-28,285534
2025-10-29,315131
2025-10-30,103212
2025-10-31,52437
2025-11-01,18300
2025-11-02,269660
2025-11-03,99199
2025-11-04,94808
2025-11-05,215184
2025-11-06,71424
2025-11-07,15057
2025-11-08,261464
2025-11-09,25350
2025-11-10,222754
2025-11-11,115700
2025-11-12,44116
2025-11-13,104303
2025-11-14,47988
2025-11-15,11130
2025-11-16,51120
2025-11-17,104364
2025-11-18,130509
2025-11-19,26004
2025-11-20,131040
2025-11-21,157332
2025-11-22,229055
2025-11-23,80576
2025-11-24,102564
2025-11-25,122590
2025-11-26,142600
2025-11-27,383964
2025-11-28,103132
2025-11-29,263016
2025-11-30,259647
2025-12-01,59156
2025-12-02,14224
2025-12-03,269920
2025-12-04,50200
2025-12-05,113516
2025-12-06,114348
2025-12-07,110880
2025-12-08,363264
2025-12-09,83997
2025-12-10,158976
2025-12-11,169809
2025-12-12,59450
2025-12-13,351540
2025-12-14,225090
2025-12-15,79926
2025-12-16,319085
2025-12-17,139104
2025-12-18,22297
2025-12-19,128805
2025-12-20,171152
2025-12-21,29029
2025-12-22,34697
2025-12-23,157641
2025-12-24,9963
2025-12-25,29130
2025-12-26,79800
2025-12-27,127642
2025-12-28,324225
2025-12-29,127536
2025-12-30,93405
2025-12-31,28540
2026-01-01,112320
2026-01-02,40122
2026-01-03,59542
2026-01-04,40175
2026-01-05,76266
2026-01-06,275946
2026-01-07,162016
2026-01-08,39715
2026-01-09,58016
2026-01-10,271830
2026-01-11,16839
2026-01-12,235235
2026-01-13,429264
2026-01-14,219028
2026-01-15,20139
2026-01-16,362610
2026-01-17,375478
2026-01-18,368446
2026-01-19,86130
2026-01-20,272765
2026-01-21,118944
2026-01-22,68565
2026-01-23,326714
2026-01-24,145306
2026-01-25,288981
2026-01-26,147800
2026-01-27,17320
2026-01-28,427418
2026-01-29,100165
2026-01-30,22000
2026-01-31,408856
2026-02-01,238784
2026-02-02,194814
2026-02-03,11228
2026-02-04,398961
2026-02-05,164140
2026-02-06,22032
2026-02-07,326577
2026-02-08,224328
2026-02-09,414048
2026-02-10,88175
2026-02-11,41392
2026-02-12,40416
2026-02-13,107676
2026-02-14,45472
2026-02-15,174690
2026-02-16,49864
2026-02-17,180096
2026-02-18,212872
2026-02-19,122848
2026-02-20,177654
2026-02-21,135207
2026-02-22,79075
2026-02-23,197197
2026-02-24,37392
2026-02-25,55944
2026-02-26,2921
2026-02-27,138048
2026-02-28,29344
2026-03-01,305046
2026-03-02,186120
2026-03-03,46682
2026-03-04,322049
2026-03-05,12468
2026-03-06,387374
2026-03-07,164528
2026-03-08,253800
2026-03-09,67430
2026-03-10,167231
2026-03-11,191958
2026-03-12,167416
2026-03-13,40520
2026-03-14,102580
2026-03-15,177264
2026-03-16,127611
2026-03-17,74822
2026-03-18,415360
2026-03-19,203918
2026-03-20,252992
2026-03-21,164775
2026-03-22,66646
2026-03-23,9102
2026-03-24,440202
2026-03-25,241310
2026-03-26,415008
2026-03-27,325473
2026-03-28,223532
2026-03-29,310950
2026-03-30,157248
2026-03-31,11336
2026-04-01,171360
2026-04-02,197360
2026-04-03,17488
2026-04-04,32361
2026-04-05,350838
2026-04-06,121300
2026-04-07,148580
2026-04-08,237405
2026-04-09,287307
2026-04-10,135864
2026-04-11,124903
2026-04-12,314973
2026-04-13,144088
2026-04-14,96048
2026-04-15,289050
2026-04-16,316050
2026-04-17,49677
2026-04-18,208640
2026-04-19,225184
2026-04-20,328872
2026-04-21,148830
2026-04-22,206468
2026-04-23,244842
2026-04-24,44700
2026-04-25,170600
2026-04-26,224056
2026-04-27,65168
2026-04-28,28620
2026-04-29,131412
2026-04-30,33700
2026-05-01,343371
2026-05-02,392579
2026-05-03,373648
2026-05-04,374418
2026-05-05,14076
2026-05-06,272392
2026-05-07,115424
2026-05-08,159036
2026-05-09,140720
2026-05-10,68640
2026-05-11,356208
2026-05-12,99981
2026-05-13,296802
2026-05-14,99548
2026-05-15,4999
2026-05-16,65000
2026-05-17,124096
2026-05-18,151869
2026-05-19,19140
2026-05-20,30316
2026-05-21,251532
2026-05-22,28595
2026-05-23,54222
2026-05-24,39105
2026-05-25,8656
2026-05-26,77440
2026-05-27,89738
2026-05-28,108888
2026-05-29,81624
2026-05-30,21228
2026-05-31,231990
2026-06-01,27144
2026-06-02,161943
2026-06-03,3478
2026-06-04,320150
2026-06-05,178374
2026-06-06,16360
2026-06-07,207050
2026-06-08,185598
2026-06-09,23120
2026-06-10,234684
2026-06-11,166920
2026-06-12,140200
2026-06-13,163458
2026-06-14,90275
2026-06-15,138021
2026-06-16,58212
2026-06-17,72360
2026-06-18,81405
2026-06-19,152820
2026-06-20,82488
2026-06-21,20070
2026-06-22,106656
2026-06-23,15848
2026-06-24,236691
2026-06-25,254576
2026-06-26,269700
2026-06-27,397991
2026-06-28,16015
2026-06-29,36005
2026-06-30,127680
2026-07-01,170430
2026-07-02,14080
2026-07-03,244032
2026-07-04,25690
2026-07-05,7042
2026-07-06,199776
2026-07-07,286830
2026-07-08,27436
2026-07-09,74736
2026-07-10,139035
2026-07-11,13368
2026-07-12,33336
2026-07-13,62491
2026-07-14,203040
2026-07-15,97951
2026-07-16,61540
2026-07-17,100023
2026-07-18,93258
2026-07-19,288489
2026-07-20,118116
2026-07-21,53320
2026-07-22,305598
2026-07-23,134838
2026-07-24,245160
2026-07-25,128525
2026-07-26,8814
2026-07-27,40440
2026-07-28,27846
2026-07-29,80190
2026-07-30,326211
2026-07-31,277032
2026-08-01,108702
2026-08-02,118888
2026-08-03,436982
2026-08-04,157790
2026-08-05,14912
2026-08-06,61662
2026-08-07,195367
2026-08-08,202647
2026-08-09,391730
2026-08-10,187704
2026-08-11,421988
2026-08-12,68195
2026-08-13,152100
2026-08-14,58758
2026-08-15,8888
2026-08-16,124120
2026-08-17,81225
2026-08-18,155700
2026-08-19,379168
2026-08-20,55211
2026-08-21,184338
2026-08-22,51801
2026-08-23,104105
2026-08-24,388892
2026-08-25,368298
2026-08-26,109356
2026-08-27,307296
2026-08-28,206336
2026-08-29,75820
2026-08-30,79443
2026-08-31,101920
2026-09-01,431112
2026-09-02,272280
2026-09-03,60007
2026-09-04,50337
2026-09-05,143388
2026-09-06,187941
2026-09-07,380436
2026-09-08,157860
2026-09-09,277200
2026-09-10,120351
2026-09-11,333620
2026-09-12,90440
2026-09-13,30888
2026-09-14,229658
2026-09-15,245592
2026-09-16,372960
2026-09-17,73602
2026-09-18,11628
2026-09-19,42378
2026-09-20,140940
2026-09-21,44271
2026-09-22,128502
2026-09-23,115368
2026-09-24,314580
2026-09-25,51948
2026-09-26,85481
2026-09-27,185658
2026-09-28,12845
2026-09-29,342524
2026-09-30,30648
2026-10-01,177114
2026-10-02,360206
2026-10-03,370854
2026-10-04,42750
2026-10-05,414728
2026-10-06,436163
2026-10-07,65835
2026-10-08,25760
2026-10-09,10960
2026-10-10,236497
2026-10-11,103320
2026-10-12,103280
2026-10-13,267954
2026-10-14,416598
2026-10-15,129185
2026-10-16,48380
2026-10-17,9478
2026-10-18,373907
2026-10-19,94775
2026-10-20,74060
2026-10-21,329452
2026-10-22,294528
2026-10-23,84450
2026-10-24,163930
2026-10-25,123768
2026-10-26,81597
2026-10-27,178224
2026-10-28,87770
2026-10-29,161938
